"","BA","DA","PR","DS","RD","DE"
"MEAQ_1",0.26,-0.01,0.05,0.11,-0.08,0.05
"MEAQ_8",0.32,0.04,-0.11,0,0.04,0.06
"MEAQ_14",0.32,0.04,0,0.04,0.02,0.07
"MEAQ_20",0.17,0.16,0.08,0.27,0.01,-0.03
"MEAQ_26",0.26,0.02,0.08,-0.03,0.03,0.03
"MEAQ_32",0.31,0.06,0.03,-0.03,0.02,0.08
"MEAQ_39",0.3,-0.01,0.03,0.16,0.03,-0.03
"MEAQ_45",0.31,0.06,0.16,0.07,-0.03,0.01
"MEAQ_51",0.37,0.02,0.02,0.03,0.03,0.02
"MEAQ_55",0.34,0.04,0.09,0.02,0.05,0.07
"MEAQ_59",0.4,-0.02,0.02,0.01,0,0
"MEAQ_2",-0.01,0.36,0.02,0.17,0,0.13
"MEAQ_7",0.06,0.36,-0.18,-0.09,0.17,0.05
"MEAQ_13",0.05,0.26,0.11,0.14,-0.07,-0.08
"MEAQ_19",0,0.39,-0.04,0.13,-0.02,-0.02
"MEAQ_25",-0.01,0.45,0.03,0.11,0.07,0.01
"MEAQ_31",0.03,0.31,0.19,0.08,-0.06,-0.07
"MEAQ_34",0.07,0.32,-0.1,0.05,-0.01,-0.01
"MEAQ_38",0.01,0.37,0.18,0.01,-0.11,-0.04
"MEAQ_44",0.03,0.39,0.15,0.01,0.02,0.01
"MEAQ_50",0.1,0.31,-0.04,-0.08,0.12,0.04
"MEAQ_54",-0.01,0.46,0.1,0.12,-0.04,0.05
"MEAQ_58",0.09,0.41,-0.17,-0.12,0.18,0.02
"MEAQ_61",0.02,0.45,-0.05,-0.01,-0.02,-0.05
"MEAQ_5",0.06,0,0.62,0.09,0.01,0.03
"MEAQ_11",0.02,0.03,0.68,0.02,0.02,0.01
"MEAQ_17",0.01,0,0.58,0.01,0.14,0.02
"MEAQ_30_r",-0.04,-0.04,0.33,-0.04,0.1,0.46
"MEAQ_36",0.1,0.04,0.58,0.04,0.05,0.06
"MEAQ_42",0.13,0.03,0.4,-0.08,0.2,0.06
"MEAQ_47",0.1,0.01,0.4,-0.1,0.18,0.05
"MEAQ_3",0.02,0.08,0.07,0.55,0.01,0.06
"MEAQ_9",0.01,-0.02,0,0.66,-0.02,-0.04
"MEAQ_15",0.03,0.03,0.11,0.53,0.02,-0.06
"MEAQ_22",-0.02,0,0.01,0.71,0.03,-0.03
"MEAQ_27",0.08,0.15,0.03,0.36,0.1,-0.05
"MEAQ_33",0.02,0.05,0.01,0.66,0.02,0
"MEAQ_40",0.06,0.03,-0.1,0.63,0.08,0.02
"MEAQ_4",-0.03,0.01,0.22,0.15,0.45,0.07
"MEAQ_10",0.03,0.06,0.13,0.02,0.45,0
"MEAQ_16",0.04,-0.05,-0.1,0.08,0.41,-0.28
"MEAQ_21",0.04,0,0.01,0,0.48,-0.03
"MEAQ_23_r",-0.09,-0.02,-0.06,0.02,0.48,0.36
"MEAQ_28",0.04,0.07,0.09,-0.06,0.5,0.05
"MEAQ_35",0.01,0.03,0.03,0.09,0.54,-0.01
"MEAQ_41",-0.02,0.04,0.12,0.07,0.6,0.06
"MEAQ_46",0.05,-0.05,-0.04,0.09,0.43,-0.27
"MEAQ_49",0.05,0.06,0.04,-0.05,0.5,0.07
"MEAQ_52",0.02,-0.04,0.05,-0.03,0.54,-0.07
"MEAQ_56",0.01,0,0,0.07,0.66,0.04
"MEAQ_60",0.04,0.06,-0.02,-0.07,0.61,0
"MEAQ_6_r",0.06,-0.04,-0.09,-0.08,0.12,0.41
"MEAQ_12_r",0.01,0.01,0.03,-0.08,0.08,0.6
"MEAQ_18_r",0.06,-0.01,-0.17,0.08,-0.06,0.61
"MEAQ_24_r",0.04,-0.03,-0.18,-0.02,0.05,0.59
"MEAQ_29_r",0.05,0.04,0.13,-0.03,-0.06,0.57
"MEAQ_37_r",-0.04,0.03,0.13,-0.08,0.09,0.58
"MEAQ_43_r",0.04,0,0,0.03,-0.03,0.68
"MEAQ_48_r",0.05,0,-0.13,0.15,-0.15,0.56
"MEAQ_53_r",0.03,0,0.04,-0.07,0.07,0.59
"MEAQ_57_r",0,0.08,0.16,-0.04,-0.02,0.59
"MEAQ_62_r",0,0,0.1,-0.06,0.08,0.59
