"","BA","DA","PR","DS","RD","DE"
"MEAQ_1",0.33,0.02,0.02,0,-0.19,-0.02
"MEAQ_8",0.32,-0.02,0.03,0.08,0.01,0.18
"MEAQ_14",0.4,0.09,0.01,0.1,-0.05,0.07
"MEAQ_20",0.4,0.07,0,0.24,0.04,0.02
"MEAQ_26",0.4,-0.03,0.09,-0.03,0.07,0.05
"MEAQ_32",0.44,0.05,0.05,-0.09,0.09,0.05
"MEAQ_39",0.42,0.01,-0.03,0.1,0.07,0.02
"MEAQ_45",0.48,0.04,0.1,0.04,0.02,-0.03
"MEAQ_51",0.56,0.07,-0.04,-0.11,-0.03,-0.05
"MEAQ_55",0.42,0.02,0.11,0.04,0.06,0.09
"MEAQ_59",0.56,-0.04,-0.03,0.02,0.02,0.1
"MEAQ_2",0.04,0.33,0.06,0.11,0.07,0.09
"MEAQ_7",-0.04,0.39,-0.05,-0.04,0.11,0.1
"MEAQ_13",0.06,0.38,0.09,0.12,-0.02,-0.1
"MEAQ_19",0.07,0.36,-0.04,0.11,-0.03,0
"MEAQ_25",0.02,0.48,0,0.08,0.03,0.05
"MEAQ_31",0.06,0.39,0.18,0.03,-0.06,-0.14
"MEAQ_34",0.1,0.29,-0.02,0.06,-0.07,-0.08
"MEAQ_38",0.06,0.37,0.16,-0.01,-0.08,-0.01
"MEAQ_44",0.03,0.41,0.07,0.05,0.1,0.02
"MEAQ_50",0.14,0.35,-0.02,0,0.11,0.09
"MEAQ_54",0.02,0.51,0.02,0.09,0,0.01
"MEAQ_58",0.01,0.43,-0.14,-0.01,0.18,0.08
"MEAQ_61",0,0.45,0,-0.01,-0.06,-0.1
"MEAQ_5",0.02,-0.11,0.63,0.1,-0.08,-0.01
"MEAQ_11",0.04,0.01,0.65,0.05,-0.01,-0.03
"MEAQ_17",0.05,-0.02,0.57,-0.03,0.07,-0.05
"MEAQ_30_r",-0.14,0.01,0.39,-0.01,0.13,0.33
"MEAQ_36",0.05,0.1,0.63,0.05,-0.03,-0.08
"MEAQ_42",0.04,0.1,0.54,-0.03,0.05,0.1
"MEAQ_47",-0.05,0.09,0.5,-0.06,0.09,0.1
"MEAQ_3",0.05,-0.1,0.11,0.4,0.03,-0.05
"MEAQ_9",0.05,-0.05,0.03,0.48,-0.06,-0.09
"MEAQ_15",-0.07,0.07,0.07,0.47,0.1,-0.08
"MEAQ_22",0.03,0.09,0,0.59,-0.02,0.03
"MEAQ_27",-0.02,0.09,0.01,0.49,0.09,0.06
"MEAQ_33",0.05,0.05,0,0.6,0.08,0.01
"MEAQ_40",-0.04,-0.01,0,0.65,0,0.07
"MEAQ_4",-0.03,0.02,0.03,0.05,0.43,-0.01
"MEAQ_10",0.09,-0.06,0.04,0.1,0.42,-0.1
"MEAQ_16",0.07,-0.09,0.01,0.03,0.49,-0.15
"MEAQ_21",0.01,0.02,-0.04,0.07,0.42,-0.01
"MEAQ_23_r",-0.1,0.05,-0.01,-0.06,0.48,0.25
"MEAQ_28",0.1,-0.03,0,-0.01,0.39,0.07
"MEAQ_35",-0.01,0,0.06,0.08,0.51,-0.06
"MEAQ_41",-0.01,0.06,0.01,-0.02,0.57,0.04
"MEAQ_46",0.02,-0.15,0.02,0.09,0.43,-0.16
"MEAQ_49",0.14,0.04,-0.01,0.06,0.36,-0.04
"MEAQ_52",-0.01,0.05,-0.04,0.04,0.53,-0.03
"MEAQ_56",0.03,0.06,-0.05,0,0.65,0.01
"MEAQ_60",0.03,0.01,0.04,0.01,0.62,-0.01
"MEAQ_6_r",0.04,0.01,-0.12,0.06,0.08,0.4
"MEAQ_12_r",0.06,0.04,0.19,-0.05,0.04,0.36
"MEAQ_18_r",0.07,0.03,-0.16,0.12,-0.13,0.55
"MEAQ_24_r",0.03,0.05,-0.17,-0.04,-0.02,0.49
"MEAQ_29_r",0.15,0.02,0.15,-0.02,0.05,0.49
"MEAQ_37_r",0.04,0.07,0.24,-0.08,0.02,0.38
"MEAQ_43_r",0.11,-0.06,0.03,0.11,-0.04,0.61
"MEAQ_48_r",0.06,0.09,-0.17,0,-0.16,0.38
"MEAQ_53_r",0.04,-0.01,0.27,-0.06,0.09,0.42
"MEAQ_57_r",0.01,0.14,0.13,-0.04,0.08,0.36
"MEAQ_62_r",0.03,-0.02,0.3,-0.02,0.09,0.35
