Item,Facet,Loading,Sample
1,BA,0.26,Construction
8,BA,0.32,Construction
14,BA,0.32,Construction
20,BA,0.17,Construction
26,BA,0.26,Construction
32,BA,0.31,Construction
39,BA,0.3,Construction
45,BA,0.31,Construction
51,BA,0.37,Construction
55,BA,0.34,Construction
59,BA,0.4,Construction
2,DA,0.36,Construction
7,DA,0.36,Construction
13,DA,0.26,Construction
19,DA,0.39,Construction
25,DA,0.45,Construction
31,DA,0.31,Construction
34,DA,0.32,Construction
38,DA,0.37,Construction
44,DA,0.39,Construction
50,DA,0.31,Construction
54,DA,0.46,Construction
58,DA,0.41,Construction
61,DA,0.45,Construction
5,PR,0.62,Construction
11,PR,0.68,Construction
17,PR,0.58,Construction
30,PR,0.33,Construction
36,PR,0.58,Construction
42,PR,0.4,Construction
47,PR,0.4,Construction
3,DS,0.55,Construction
9,DS,0.66,Construction
15,DS,0.53,Construction
22,DS,0.71,Construction
27,DS,0.36,Construction
33,DS,0.66,Construction
40,DS,0.63,Construction
4,RD,0.45,Construction
10,RD,0.45,Construction
16,RD,0.41,Construction
21,RD,0.48,Construction
23,RD,0.48,Construction
28,RD,0.5,Construction
35,RD,0.54,Construction
41,RD,0.6,Construction
46,RD,0.43,Construction
49,RD,0.5,Construction
52,RD,0.54,Construction
56,RD,0.66,Construction
60,RD,0.61,Construction
6,DE,0.41,Construction
12,DE,0.6,Construction
18,DE,0.61,Construction
24,DE,0.59,Construction
29,DE,0.57,Construction
37,DE,0.58,Construction
43,DE,0.68,Construction
48,DE,0.56,Construction
53,DE,0.59,Construction
57,DE,0.59,Construction
62,DE,0.59,Construction
1,BA,0.33,Validation
8,BA,0.32,Validation
14,BA,0.4,Validation
20,BA,0.4,Validation
26,BA,0.4,Validation
32,BA,0.44,Validation
39,BA,0.42,Validation
45,BA,0.48,Validation
51,BA,0.56,Validation
55,BA,0.42,Validation
59,BA,0.56,Validation
2,DA,0.33,Validation
7,DA,0.39,Validation
13,DA,0.38,Validation
19,DA,0.36,Validation
25,DA,0.48,Validation
31,DA,0.39,Validation
34,DA,0.29,Validation
38,DA,0.37,Validation
44,DA,0.41,Validation
50,DA,0.35,Validation
54,DA,0.51,Validation
58,DA,0.43,Validation
61,DA,0.45,Validation
5,PR,0.63,Validation
11,PR,0.65,Validation
17,PR,0.57,Validation
30,PR,0.39,Validation
36,PR,0.63,Validation
42,PR,0.54,Validation
47,PR,0.5,Validation
3,DS,0.4,Validation
9,DS,0.48,Validation
15,DS,0.47,Validation
22,DS,0.59,Validation
27,DS,0.49,Validation
33,DS,0.6,Validation
40,DS,0.65,Validation
4,RD,0.43,Validation
10,RD,0.42,Validation
16,RD,0.49,Validation
21,RD,0.42,Validation
23,RD,0.48,Validation
28,RD,0.39,Validation
35,RD,0.51,Validation
41,RD,0.57,Validation
46,RD,0.43,Validation
49,RD,0.36,Validation
52,RD,0.53,Validation
56,RD,0.65,Validation
60,RD,0.62,Validation
6,DE,0.4,Validation
12,DE,0.36,Validation
18,DE,0.55,Validation
24,DE,0.49,Validation
29,DE,0.49,Validation
37,DE,0.38,Validation
43,DE,0.61,Validation
48,DE,0.38,Validation
53,DE,0.42,Validation
57,DE,0.36,Validation
62,DE,0.35,Validation
