"","BA","DA","PR","DS","RD","DE"
"MEAQ_1",0.271,-0.02,0.059,0.08,-0.093,0.036
"MEAQ_8",0.312,0.032,-0.1,0.007,0.043,0.069
"MEAQ_14",0.329,0.041,-0.005,0.038,0.014,0.071
"MEAQ_20",0.189,0.134,0.063,0.268,0.01,-0.027
"MEAQ_26",0.274,0.014,0.078,-0.035,0.036,0.028
"MEAQ_32",0.318,0.06,0.027,-0.044,0.026,0.067
"MEAQ_39",0.308,-0.01,0.016,0.145,0.035,-0.033
"MEAQ_45",0.324,0.055,0.142,0.065,-0.02,0
"MEAQ_51",0.385,0.02,0.018,-0.004,0.018,0.005
"MEAQ_55",0.342,0.037,0.081,0.017,0.051,0.068
"MEAQ_59",0.416,-0.031,0.015,0.003,0.001,0.003
"MEAQ_2",-0.004,0.352,0.021,0.167,0,0.125
"MEAQ_7",0.046,0.363,-0.163,-0.077,0.161,0.059
"MEAQ_13",0.046,0.273,0.118,0.129,-0.066,-0.077
"MEAQ_19",0.004,0.38,-0.039,0.131,-0.026,-0.016
"MEAQ_25",-0.009,0.45,0.018,0.113,0.059,0.013
"MEAQ_31",0.031,0.314,0.205,0.066,-0.066,-0.074
"MEAQ_34",0.07,0.317,-0.085,0.045,-0.024,-0.019
"MEAQ_38",0.01,0.368,0.17,0.012,-0.115,-0.041
"MEAQ_44",0.027,0.387,0.143,0.015,0.031,0.015
"MEAQ_50",0.103,0.313,-0.036,-0.069,0.118,0.048
"MEAQ_54",-0.012,0.465,0.093,0.119,-0.038,0.042
"MEAQ_58",0.072,0.422,-0.171,-0.1,0.184,0.021
"MEAQ_61",0.014,0.455,-0.042,-0.011,-0.024,-0.059
"MEAQ_5",0.059,-0.012,0.632,0.082,0,0.029
"MEAQ_11",0.019,0.028,0.682,0.018,0.017,0.006
"MEAQ_17",0.01,-0.005,0.59,0.006,0.131,0.02
"MEAQ_30_r",-0.053,-0.032,0.331,-0.033,0.106,0.453
"MEAQ_36",0.088,0.045,0.589,0.044,0.039,0.049
"MEAQ_42",0.115,0.046,0.404,-0.068,0.183,0.071
"MEAQ_47",0.078,0.03,0.409,-0.089,0.172,0.058
"MEAQ_3",0.025,0.055,0.07,0.538,0.012,0.046
"MEAQ_9",0.007,-0.024,0.001,0.648,-0.03,-0.045
"MEAQ_15",0.016,0.037,0.11,0.527,0.027,-0.063
"MEAQ_22",-0.02,0.003,0.007,0.707,0.018,-0.014
"MEAQ_27",0.073,0.14,0.028,0.381,0.105,-0.029
"MEAQ_33",0.009,0.053,0,0.658,0.024,0.007
"MEAQ_40",0.045,0.014,-0.085,0.638,0.069,0.031
"MEAQ_4",-0.018,0.002,0.217,0.123,0.44,0.063
"MEAQ_10",0.033,0.043,0.118,0.029,0.45,-0.004
"MEAQ_16",0.034,-0.051,-0.091,0.084,0.419,-0.261
"MEAQ_21",0.037,0.001,0.005,0.004,0.478,-0.031
"MEAQ_23_r",-0.093,-0.009,-0.054,0.013,0.478,0.346
"MEAQ_28",0.044,0.055,0.079,-0.049,0.489,0.059
"MEAQ_35",0.007,0.026,0.037,0.091,0.537,-0.019
"MEAQ_41",-0.014,0.033,0.115,0.051,0.588,0.049
"MEAQ_46",0.048,-0.059,-0.034,0.095,0.434,-0.262
"MEAQ_49",0.051,0.061,0.034,-0.031,0.483,0.069
"MEAQ_52",0.012,-0.027,0.043,-0.019,0.542,-0.062
"MEAQ_56",0.009,0.007,-0.005,0.061,0.658,0.037
"MEAQ_60",0.039,0.053,-0.01,-0.056,0.615,0.004
"MEAQ_6_r",0.052,-0.027,-0.1,-0.054,0.118,0.413
"MEAQ_12_r",0.01,0.014,0.042,-0.073,0.075,0.584
"MEAQ_18_r",0.063,-0.01,-0.171,0.086,-0.071,0.605
"MEAQ_24_r",0.032,-0.017,-0.179,-0.025,0.041,0.58
"MEAQ_29_r",0.06,0.04,0.121,-0.019,-0.046,0.559
"MEAQ_37_r",-0.037,0.029,0.145,-0.075,0.077,0.566
"MEAQ_43_r",0.051,-0.012,0.002,0.036,-0.033,0.678
"MEAQ_48_r",0.052,-0.001,-0.133,0.125,-0.152,0.537
"MEAQ_53_r",0.025,-0.002,0.051,-0.066,0.074,0.578
"MEAQ_57_r",-0.005,0.079,0.153,-0.041,-0.01,0.567
"MEAQ_62_r",-0.003,-0.009,0.125,-0.053,0.075,0.57
