"","BA","DA","PR","DS","RD","DE"
"MEAQ_51",0.46,0.04,0.02,0.02,0.01,0.01
"MEAQ_59",0.54,-0.02,-0.01,-0.01,0,0.01
"MEAQ_7",-0.03,0.59,-0.02,0.02,0.02,0.03
"MEAQ_58",0.02,0.67,0.01,-0.01,0,-0.02
"MEAQ_5",0.02,-0.04,0.44,0.05,0.16,0.03
"MEAQ_36",0,0.01,0.78,-0.01,-0.02,0
"MEAQ_22",-0.01,-0.01,-0.01,0.97,0,0.02
"MEAQ_33",0.09,0.06,0.07,0.54,0,-0.09
"MEAQ_4",0,-0.01,-0.01,0.01,0.87,-0.01
"MEAQ_41",0.03,0.08,0.04,-0.04,0.53,0.05
"MEAQ_53_r",0.02,0.01,-0.01,0,-0.01,0.69
"MEAQ_62_r",-0.01,0,0.02,0.01,0.01,0.65
