"","BA","DA","PR","DS","RD","DE"
"MEAQ_51",0.62,-0.03,-0.04,0,0.05,-0.05
"MEAQ_59",0.59,0.03,0.05,0.01,-0.06,0.06
"MEAQ_7",-0.01,-0.01,-0.01,0.01,0.94,-0.01
"MEAQ_58",0.07,0.09,0.09,-0.09,0.46,0.07
"MEAQ_5",-0.01,-0.01,-0.01,0.9,-0.02,-0.01
"MEAQ_36",0.08,0.05,0.08,0.48,0.07,0.06
"MEAQ_22",0.03,0,0.63,0,0.02,-0.07
"MEAQ_33",-0.03,-0.01,0.67,0,-0.01,0.05
"MEAQ_4",-0.03,0.5,0.06,0.03,-0.01,-0.03
"MEAQ_41",0,0.87,-0.02,0,0,0
"MEAQ_53_r",0,-0.01,-0.01,-0.01,0,0.81
"MEAQ_62_r",0.04,0.04,0.02,0.2,0.1,0.33
