"","BA","DA","PR","DS","RD","DE"
"MEAQ_51",0.442,0.081,0.046,0.029,0.02,0.015
"MEAQ_59",0.636,-0.025,-0.016,-0.007,-0.004,0.004
"MEAQ_7",-0.034,0.6,-0.018,0.016,0.02,0.038
"MEAQ_58",0.026,0.686,0.01,-0.004,-0.002,-0.014
"MEAQ_5",0.029,-0.066,0.433,0.045,0.158,0.053
"MEAQ_36",-0.004,0.01,0.784,-0.006,-0.022,-0.002
"MEAQ_22",-0.013,-0.011,-0.013,0.964,-0.001,0.014
"MEAQ_33",0.083,0.074,0.073,0.55,0.003,-0.081
"MEAQ_4",-0.004,-0.013,-0.007,0.005,0.884,-0.009
"MEAQ_41",0.03,0.097,0.041,-0.028,0.523,0.043
"MEAQ_53_r",0.019,0.023,-0.007,-0.018,-0.015,0.63
"MEAQ_62_r",-0.006,-0.011,0.013,0.014,0.007,0.672
