"","BA","DA","PR","DS","RD","DE"
"MEAQ_14",0.3,0.04,-0.01,0.03,0.04,-0.01
"MEAQ_26",0.3,-0.01,0,0.02,-0.02,0.01
"MEAQ_32",0.31,-0.03,-0.02,-0.02,0.05,0.04
"MEAQ_51",0.31,0.07,0,0,0.04,0.02
"MEAQ_55",0.37,0.02,-0.01,0.02,0.01,0.02
"MEAQ_2",0.02,0.04,-0.09,0.01,0.42,-0.03
"MEAQ_19",-0.02,0.05,0.03,-0.01,0.46,0
"MEAQ_25",-0.01,0.04,-0.03,0.07,0.51,0.01
"MEAQ_34",0.06,0.01,0.04,0.01,0.35,-0.06
"MEAQ_54",0.02,-0.01,0,-0.01,0.54,0.03
"MEAQ_61",0.02,-0.05,0.03,-0.01,0.49,-0.03
"MEAQ_17",-0.02,0.06,-0.03,0.04,0.01,0.56
"MEAQ_42",0.1,-0.02,-0.06,0.06,0.02,0.47
"MEAQ_47",0.06,-0.02,-0.07,0.06,-0.01,0.47
"MEAQ_15",0.02,0.54,0.09,-0.02,0,0.11
"MEAQ_33",-0.01,0.67,-0.01,-0.03,0.05,0.02
"MEAQ_40",0.02,0.7,-0.03,0.04,-0.02,-0.06
"MEAQ_10",0,0.04,0.04,0.54,0.03,0.03
"MEAQ_21",0.02,0.01,0.04,0.41,-0.03,0.06
"MEAQ_23_r",-0.03,0.01,-0.35,0.26,-0.02,-0.07
"MEAQ_28",0,0,-0.03,0.55,0.03,0.07
"MEAQ_49",0.02,0,-0.06,0.52,0.01,0.01
"MEAQ_60",0,-0.02,0.03,0.68,0,-0.03
"MEAQ_6-",0.08,0,-0.44,0.08,-0.08,-0.13
"MEAQ_12-",0.01,0,-0.69,-0.01,0.01,-0.01
"MEAQ_37-",-0.05,-0.03,-0.62,0.02,0.06,0.1
"MEAQ_53-",0.04,-0.02,-0.65,-0.01,0,-0.01
"MEAQ_62-",0,0.01,-0.63,-0.01,-0.01,0.08
