"","BA","DA","PR","DS","RD","DE"
"MEAQ_14",0.08,-0.01,-0.04,0.45,0.07,0.11
"MEAQ_26",0.07,0.01,0.04,0.43,-0.05,0.03
"MEAQ_32",0.05,0.09,0.04,0.42,0.08,-0.07
"MEAQ_51",-0.06,0,-0.02,0.56,0.07,-0.1
"MEAQ_55",0.02,0.04,0.06,0.51,-0.04,0.12
"MEAQ_2",0.13,-0.02,0.08,0.04,0.37,0.08
"MEAQ_19",-0.05,0.07,-0.07,0.09,0.34,0.1
"MEAQ_25",0.04,0.03,0.04,0.01,0.52,0.04
"MEAQ_34",-0.06,0.02,-0.03,0.08,0.34,0
"MEAQ_54",0.01,-0.02,0.02,-0.01,0.61,0.02
"MEAQ_61",-0.1,0.03,-0.04,0.03,0.43,-0.03
"MEAQ_17",-0.05,0.47,0.07,0.08,-0.08,0.04
"MEAQ_42",0.08,0.57,0,0.05,0.06,0
"MEAQ_47",0.07,0.52,0.02,-0.04,0.03,0.01
"MEAQ_15",-0.01,0.04,0.06,-0.09,0.04,0.53
"MEAQ_33",-0.03,-0.01,0.11,0.09,0.09,0.53
"MEAQ_40",0.01,0.01,-0.06,0.01,0,0.7
"MEAQ_10",-0.07,0,0.48,0.06,-0.06,0.13
"MEAQ_21",-0.02,0.02,0.4,-0.06,0.03,0.12
"MEAQ_23_r",0.22,0,0.25,-0.09,0.07,-0.06
"MEAQ_28",0.1,-0.07,0.53,0.08,-0.03,-0.07
"MEAQ_49",0.02,-0.05,0.38,0.1,0.04,0.11
"MEAQ_60",-0.02,0.07,0.7,-0.03,0.05,-0.04
"MEAQ_6-",0.37,-0.21,0.04,0.06,0.02,0.08
"MEAQ_12-",0.44,0.02,-0.02,0.06,0.06,-0.02
"MEAQ_37-",0.39,0.11,-0.01,0.05,0.05,-0.05
"MEAQ_53-",0.46,0.18,0.02,0.01,-0.01,0.01
"MEAQ_62-",0.37,0.21,0.04,0.03,-0.05,0.03
