"","BA","DA","PR","DS","RD","DE"
"MEAQ_14",0.3,0.03,-0.01,0.04,0.02,-0.01
"MEAQ_26",0.31,-0.04,0,-0.01,0.02,0
"MEAQ_32",0.32,0.05,0.05,-0.04,-0.02,-0.02
"MEAQ_51",0.33,0.04,0.02,0.03,-0.01,0.02
"MEAQ_55",0.37,0,0.01,0.03,0.02,-0.01
"MEAQ_2",0.02,0.42,-0.04,0.05,0.02,-0.1
"MEAQ_19",-0.01,0.44,0.01,0.05,-0.02,0.03
"MEAQ_25",-0.02,0.52,0.01,0.05,0.06,-0.03
"MEAQ_34",0.06,0.36,-0.04,0,0,0.04
"MEAQ_54",0.01,0.55,0.03,0,-0.01,0
"MEAQ_61",0.01,0.5,-0.02,-0.06,-0.01,0.04
"MEAQ_17",-0.02,0,0.54,0.05,0.03,-0.02
"MEAQ_42",0.08,0.03,0.49,-0.01,0.04,-0.06
"MEAQ_47",0.04,0,0.47,-0.01,0.05,-0.07
"MEAQ_15",0,0,0.11,0.55,-0.01,0.08
"MEAQ_33",0,0.06,0.01,0.65,-0.02,0
"MEAQ_40",0.02,-0.02,-0.05,0.7,0.02,-0.03
"MEAQ_10",0,0.01,0.03,0.05,0.53,0.04
"MEAQ_21",0.01,-0.03,0.06,0.03,0.41,0.03
"MEAQ_23-",-0.04,-0.01,-0.06,0,0.26,-0.34
"MEAQ_28",0.01,0.01,0.06,-0.01,0.54,-0.03
"MEAQ_49",0.02,0.02,0,0.01,0.5,-0.06
"MEAQ_60",0,0.01,-0.02,-0.02,0.68,0.03
"MEAQ_6-",0.08,-0.07,-0.14,0.01,0.08,-0.43
"MEAQ_12-",0.01,0.02,-0.02,0,-0.01,-0.67
"MEAQ_37-",-0.04,0.06,0.1,-0.03,0.01,-0.59
"MEAQ_53-",0.03,0,0,-0.01,-0.01,-0.64
"MEAQ_62-",0,-0.02,0.09,0.01,-0.01,-0.61
