"","BA","DA","PR","DS","RD","DE"
"MEAQ_51",0.44,0.08,0.05,0.03,0.02,-0.01
"MEAQ_59",0.64,-0.02,-0.02,-0.01,0,0
"MEAQ_7",-0.03,0.6,-0.02,0.02,0.02,-0.04
"MEAQ_58",0.03,0.69,0.01,0,0,0.01
"MEAQ_5",0.03,-0.07,0.43,0.05,0.16,-0.05
"MEAQ_36",0,0.01,0.78,-0.01,-0.02,0
"MEAQ_22",-0.01,-0.01,-0.01,0.96,0,-0.01
"MEAQ_33",0.08,0.07,0.07,0.55,0,0.08
"MEAQ_4",0,-0.01,-0.01,0.01,0.88,0.01
"MEAQ_41",0.03,0.1,0.04,-0.03,0.52,-0.04
"MEAQ_53-",0.02,0.02,-0.01,-0.02,-0.01,-0.63
"MEAQ_62-",-0.01,-0.01,0.01,0.01,0.01,-0.67
