"","BA","DA","PR","DS","RD","DE"
"MEAQ_1",0.1,-0.04,-0.02,-0.14,0.02,0.39
"MEAQ_8",-0.03,-0.03,0.22,0.05,0.08,0.34
"MEAQ_39",0.01,0.02,0.07,0.06,0.13,0.42
"MEAQ_51",0.02,0.07,-0.03,0,-0.07,0.64
"MEAQ_55",0.1,0.01,0.12,0.1,0.07,0.44
"MEAQ_2",0,0.35,0.09,0.04,0.14,0.07
"MEAQ_7",-0.05,0.27,0.1,0.07,0.02,0.03
"MEAQ_25",-0.04,0.42,0.06,0.01,0.14,0.07
"MEAQ_31",0.17,0.39,-0.12,-0.06,0.06,0.09
"MEAQ_44",-0.03,0.43,0.03,0.12,0.07,0.08
"MEAQ_5",0.59,-0.15,0.1,-0.05,0.08,0.01
"MEAQ_17",0.58,-0.04,0.01,0.1,-0.05,0.04
"MEAQ_30_r",0.26,0.09,0.37,0.07,-0.05,-0.19
"MEAQ_36",0.69,0.08,-0.06,0,0.04,0.03
"MEAQ_42",0.45,0.14,0.15,0.05,-0.02,0.04
"MEAQ_9",0.09,-0.07,-0.12,-0.06,0.48,0.03
"MEAQ_22",0.02,0.07,-0.02,0.01,0.59,0.04
"MEAQ_27",0.02,0.08,0.03,0.08,0.51,-0.06
"MEAQ_33",-0.01,0.06,0,0.03,0.63,0.02
"MEAQ_40",-0.01,-0.04,0.04,0,0.65,-0.04
"MEAQ_35",0.08,0.05,-0.06,0.42,0.07,-0.06
"MEAQ_41",0.02,-0.02,0,0.61,-0.04,0.01
"MEAQ_52",0,-0.01,-0.09,0.59,0.02,0
"MEAQ_56",-0.03,-0.01,0.02,0.64,0.01,0.02
"MEAQ_60",0.01,0.03,0.04,0.54,0.02,-0.01
"MEAQ_12_r",0.1,0.05,0.4,0.01,-0.03,0.03
"MEAQ_37_r",0.11,0.14,0.46,-0.02,-0.07,-0.03
"MEAQ_43_r",-0.09,-0.07,0.56,-0.03,0.12,0.15
"MEAQ_57_r",0,0.22,0.34,0.07,-0.05,0.03
"MEAQ_62_r",0.18,-0.02,0.41,0.06,-0.03,0.05
