"","BA","DA","PR","DS","RD","DE"
"MEAQ_1",0.32,0.01,0.09,0.01,-0.09,-0.01
"MEAQ_8",0.35,0.04,-0.08,0.02,0.04,0.08
"MEAQ_39",0.34,0.01,0.04,0.13,0.04,-0.04
"MEAQ_51",0.46,0.01,0.05,-0.01,0.03,0
"MEAQ_55",0.39,0.05,0.07,0,0.06,0.06
"MEAQ_2",0.05,0.35,0,0.07,-0.04,0.06
"MEAQ_7",0.11,0.23,-0.14,-0.01,0.13,0.08
"MEAQ_25",0,0.44,-0.03,0.09,0.05,0.01
"MEAQ_31",0.05,0.32,0.15,0.01,-0.05,-0.1
"MEAQ_44",0.01,0.43,0.06,-0.03,0.02,0.01
"MEAQ_5",0.04,0.01,0.62,0.02,-0.04,-0.01
"MEAQ_17",-0.03,-0.01,0.56,0.01,0.09,0.05
"MEAQ_30_r",-0.08,-0.02,0.27,-0.02,0.04,0.47
"MEAQ_36",0.06,0.03,0.62,0.04,0.02,0.02
"MEAQ_42",0.08,0.04,0.38,-0.04,0.16,0.09
"MEAQ_9",0.03,-0.04,0.03,0.63,-0.04,-0.06
"MEAQ_22",-0.04,0,0.03,0.73,0,0
"MEAQ_27",0.05,0.17,0.03,0.37,0.07,-0.01
"MEAQ_33",-0.01,0.05,0.02,0.69,0,0.02
"MEAQ_40",0.05,0,-0.05,0.66,0.05,0.03
"MEAQ_35",-0.01,0.04,0.04,0.06,0.48,-0.02
"MEAQ_41",0,0.02,0.07,-0.01,0.6,0
"MEAQ_52",0.01,-0.03,0.04,-0.05,0.53,-0.08
"MEAQ_56",0.01,-0.01,-0.03,0.03,0.67,0.02
"MEAQ_60",0.02,0.03,-0.03,-0.02,0.56,0.04
"MEAQ_12_r",0.01,0,-0.03,0,0.03,0.64
"MEAQ_37_r",-0.05,0.03,0.06,-0.03,0.03,0.62
"MEAQ_43_r",0.11,-0.03,-0.05,0.03,-0.05,0.64
"MEAQ_57_r",0.02,0.11,0.02,-0.06,-0.03,0.58
"MEAQ_62_r",0,-0.03,0.02,0.01,0.03,0.65
