"","BA","DA","PR","DS","RD","DE"
"MEAQ_14",0.3,0.04,-0.01,0.04,0.03,0.01
"MEAQ_26",0.3,-0.02,0.01,-0.01,0.02,0
"MEAQ_32",0.31,0.05,0.04,-0.03,-0.02,0.02
"MEAQ_51",0.31,0.04,0.02,0.07,0,0
"MEAQ_55",0.37,0.01,0.02,0.02,0.02,0.01
"MEAQ_2",0.02,0.42,-0.03,0.04,0.01,0.09
"MEAQ_19",-0.02,0.46,0,0.05,-0.01,-0.03
"MEAQ_25",-0.01,0.51,0.01,0.04,0.07,0.03
"MEAQ_34",0.06,0.35,-0.06,0.01,0.01,-0.04
"MEAQ_54",0.02,0.54,0.03,-0.01,-0.01,0
"MEAQ_61",0.02,0.49,-0.03,-0.05,-0.01,-0.03
"MEAQ_17",-0.02,0.01,0.56,0.06,0.04,0.03
"MEAQ_42",0.1,0.02,0.47,-0.02,0.06,0.06
"MEAQ_47",0.06,-0.01,0.47,-0.02,0.06,0.07
"MEAQ_15",0.02,0,0.11,0.54,-0.02,-0.09
"MEAQ_33",-0.01,0.05,0.02,0.67,-0.03,0.01
"MEAQ_40",0.02,-0.02,-0.06,0.7,0.04,0.03
"MEAQ_10",0,0.03,0.03,0.04,0.54,-0.04
"MEAQ_21",0.02,-0.03,0.06,0.01,0.41,-0.04
"MEAQ_23_r",-0.03,-0.02,-0.07,0.01,0.26,0.35
"MEAQ_28",0,0.03,0.07,0,0.55,0.03
"MEAQ_49",0.02,0.01,0.01,0,0.52,0.06
"MEAQ_60",0,0,-0.03,-0.02,0.68,-0.03
"MEAQ_6_r",0.08,-0.08,-0.13,0,0.08,0.44
"MEAQ_12_r",0.01,0.01,-0.01,0,-0.01,0.69
"MEAQ_37_r",-0.05,0.06,0.1,-0.03,0.02,0.62
"MEAQ_53_r",0.04,0,-0.01,-0.02,-0.01,0.65
"MEAQ_62_r",0,-0.01,0.08,0.01,-0.01,0.63
