Item,Facet,Loading,Sample,Scale
1,BA,0.26,Construction,MEAQ-62
8,BA,0.32,Construction,MEAQ-62
14,BA,0.32,Construction,MEAQ-62
20,BA,0.17,Construction,MEAQ-62
26,BA,0.26,Construction,MEAQ-62
32,BA,0.31,Construction,MEAQ-62
39,BA,0.3,Construction,MEAQ-62
45,BA,0.31,Construction,MEAQ-62
51,BA,0.37,Construction,MEAQ-62
55,BA,0.34,Construction,MEAQ-62
59,BA,0.4,Construction,MEAQ-62
2,DA,0.36,Construction,MEAQ-62
7,DA,0.36,Construction,MEAQ-62
13,DA,0.26,Construction,MEAQ-62
19,DA,0.39,Construction,MEAQ-62
25,DA,0.45,Construction,MEAQ-62
31,DA,0.31,Construction,MEAQ-62
34,DA,0.32,Construction,MEAQ-62
38,DA,0.37,Construction,MEAQ-62
44,DA,0.39,Construction,MEAQ-62
50,DA,0.31,Construction,MEAQ-62
54,DA,0.46,Construction,MEAQ-62
58,DA,0.41,Construction,MEAQ-62
61,DA,0.45,Construction,MEAQ-62
5,PR,0.62,Construction,MEAQ-62
11,PR,0.68,Construction,MEAQ-62
17,PR,0.58,Construction,MEAQ-62
30,PR,0.33,Construction,MEAQ-62
36,PR,0.58,Construction,MEAQ-62
42,PR,0.4,Construction,MEAQ-62
47,PR,0.4,Construction,MEAQ-62
3,DS,0.55,Construction,MEAQ-62
9,DS,0.66,Construction,MEAQ-62
15,DS,0.53,Construction,MEAQ-62
22,DS,0.71,Construction,MEAQ-62
27,DS,0.36,Construction,MEAQ-62
33,DS,0.66,Construction,MEAQ-62
40,DS,0.63,Construction,MEAQ-62
4,RD,0.45,Construction,MEAQ-62
10,RD,0.45,Construction,MEAQ-62
16,RD,0.41,Construction,MEAQ-62
21,RD,0.48,Construction,MEAQ-62
23,RD,0.48,Construction,MEAQ-62
28,RD,0.5,Construction,MEAQ-62
35,RD,0.54,Construction,MEAQ-62
41,RD,0.6,Construction,MEAQ-62
46,RD,0.43,Construction,MEAQ-62
49,RD,0.5,Construction,MEAQ-62
52,RD,0.54,Construction,MEAQ-62
56,RD,0.66,Construction,MEAQ-62
60,RD,0.61,Construction,MEAQ-62
6,DE,0.41,Construction,MEAQ-62
12,DE,0.6,Construction,MEAQ-62
18,DE,0.61,Construction,MEAQ-62
24,DE,0.59,Construction,MEAQ-62
29,DE,0.57,Construction,MEAQ-62
37,DE,0.58,Construction,MEAQ-62
43,DE,0.68,Construction,MEAQ-62
48,DE,0.56,Construction,MEAQ-62
53,DE,0.59,Construction,MEAQ-62
57,DE,0.59,Construction,MEAQ-62
62,DE,0.59,Construction,MEAQ-62
1,BA,0.33,Validation,MEAQ-62
8,BA,0.32,Validation,MEAQ-62
14,BA,0.4,Validation,MEAQ-62
20,BA,0.4,Validation,MEAQ-62
26,BA,0.4,Validation,MEAQ-62
32,BA,0.44,Validation,MEAQ-62
39,BA,0.42,Validation,MEAQ-62
45,BA,0.48,Validation,MEAQ-62
51,BA,0.56,Validation,MEAQ-62
55,BA,0.42,Validation,MEAQ-62
59,BA,0.56,Validation,MEAQ-62
2,DA,0.33,Validation,MEAQ-62
7,DA,0.39,Validation,MEAQ-62
13,DA,0.38,Validation,MEAQ-62
19,DA,0.36,Validation,MEAQ-62
25,DA,0.48,Validation,MEAQ-62
31,DA,0.39,Validation,MEAQ-62
34,DA,0.29,Validation,MEAQ-62
38,DA,0.37,Validation,MEAQ-62
44,DA,0.41,Validation,MEAQ-62
50,DA,0.35,Validation,MEAQ-62
54,DA,0.51,Validation,MEAQ-62
58,DA,0.43,Validation,MEAQ-62
61,DA,0.45,Validation,MEAQ-62
5,PR,0.63,Validation,MEAQ-62
11,PR,0.65,Validation,MEAQ-62
17,PR,0.57,Validation,MEAQ-62
30,PR,0.39,Validation,MEAQ-62
36,PR,0.63,Validation,MEAQ-62
42,PR,0.54,Validation,MEAQ-62
47,PR,0.5,Validation,MEAQ-62
3,DS,0.4,Validation,MEAQ-62
9,DS,0.48,Validation,MEAQ-62
15,DS,0.47,Validation,MEAQ-62
22,DS,0.59,Validation,MEAQ-62
27,DS,0.49,Validation,MEAQ-62
33,DS,0.6,Validation,MEAQ-62
40,DS,0.65,Validation,MEAQ-62
4,RD,0.43,Validation,MEAQ-62
10,RD,0.42,Validation,MEAQ-62
16,RD,0.49,Validation,MEAQ-62
21,RD,0.42,Validation,MEAQ-62
23,RD,0.48,Validation,MEAQ-62
28,RD,0.39,Validation,MEAQ-62
35,RD,0.51,Validation,MEAQ-62
41,RD,0.57,Validation,MEAQ-62
46,RD,0.43,Validation,MEAQ-62
49,RD,0.36,Validation,MEAQ-62
52,RD,0.53,Validation,MEAQ-62
56,RD,0.65,Validation,MEAQ-62
60,RD,0.62,Validation,MEAQ-62
6,DE,0.4,Validation,MEAQ-62
12,DE,0.36,Validation,MEAQ-62
18,DE,0.55,Validation,MEAQ-62
24,DE,0.49,Validation,MEAQ-62
29,DE,0.49,Validation,MEAQ-62
37,DE,0.38,Validation,MEAQ-62
43,DE,0.61,Validation,MEAQ-62
48,DE,0.38,Validation,MEAQ-62
53,DE,0.42,Validation,MEAQ-62
57,DE,0.36,Validation,MEAQ-62
62,DE,0.35,Validation,MEAQ-62
1,BA,0.31,Construction,MEAQ-GA
8,BA,0.36,Construction,MEAQ-GA
39,BA,0.33,Construction,MEAQ-GA
51,BA,0.44,Construction,MEAQ-GA
55,BA,0.38,Construction,MEAQ-GA
2,DA,0.34,Construction,MEAQ-GA
7,DA,0.22,Construction,MEAQ-GA
25,DA,0.45,Construction,MEAQ-GA
31,DA,0.32,Construction,MEAQ-GA
44,DA,0.43,Construction,MEAQ-GA
5,PR,0.63,Construction,MEAQ-GA
17,PR,0.55,Construction,MEAQ-GA
30,PR,0.27,Construction,MEAQ-GA
36,PR,0.61,Construction,MEAQ-GA
42,PR,0.38,Construction,MEAQ-GA
9,DS,0.64,Construction,MEAQ-GA
22,DS,0.74,Construction,MEAQ-GA
27,DS,0.35,Construction,MEAQ-GA
33,DS,0.7,Construction,MEAQ-GA
40,DS,0.66,Construction,MEAQ-GA
35,RD,0.48,Construction,MEAQ-GA
41,RD,0.6,Construction,MEAQ-GA
52,RD,0.52,Construction,MEAQ-GA
56,RD,0.67,Construction,MEAQ-GA
60,RD,0.56,Construction,MEAQ-GA
12,DE,0.66,Construction,MEAQ-GA
37,DE,0.63,Construction,MEAQ-GA
43,DE,0.64,Construction,MEAQ-GA
57,DE,0.6,Construction,MEAQ-GA
62,DE,0.68,Construction,MEAQ-GA
1,BA,0.39,Validation,MEAQ-GA
8,BA,0.34,Validation,MEAQ-GA
39,BA,0.42,Validation,MEAQ-GA
51,BA,0.64,Validation,MEAQ-GA
55,BA,0.44,Validation,MEAQ-GA
2,DA,0.35,Validation,MEAQ-GA
7,DA,0.27,Validation,MEAQ-GA
25,DA,0.42,Validation,MEAQ-GA
31,DA,0.39,Validation,MEAQ-GA
44,DA,0.43,Validation,MEAQ-GA
5,PR,0.59,Validation,MEAQ-GA
17,PR,0.58,Validation,MEAQ-GA
30,PR,0.26,Validation,MEAQ-GA
36,PR,0.69,Validation,MEAQ-GA
42,PR,0.45,Validation,MEAQ-GA
9,DS,0.48,Validation,MEAQ-GA
22,DS,0.59,Validation,MEAQ-GA
27,DS,0.51,Validation,MEAQ-GA
33,DS,0.63,Validation,MEAQ-GA
40,DS,0.65,Validation,MEAQ-GA
35,RD,0.42,Validation,MEAQ-GA
41,RD,0.61,Validation,MEAQ-GA
52,RD,0.59,Validation,MEAQ-GA
56,RD,0.64,Validation,MEAQ-GA
60,RD,0.54,Validation,MEAQ-GA
12,DE,0.4,Validation,MEAQ-GA
37,DE,0.46,Validation,MEAQ-GA
43,DE,0.56,Validation,MEAQ-GA
57,DE,0.34,Validation,MEAQ-GA
62,DE,0.41,Validation,MEAQ-GA
14,BA,0.3,Construction,MEAQ-ACO-SF
26,BA,0.3,Construction,MEAQ-ACO-SF
32,BA,0.31,Construction,MEAQ-ACO-SF
51,BA,0.31,Construction,MEAQ-ACO-SF
55,BA,0.37,Construction,MEAQ-ACO-SF
2,DA,0.42,Construction,MEAQ-ACO-SF
19,DA,0.46,Construction,MEAQ-ACO-SF
25,DA,0.51,Construction,MEAQ-ACO-SF
34,DA,0.35,Construction,MEAQ-ACO-SF
54,DA,0.54,Construction,MEAQ-ACO-SF
61,DA,0.49,Construction,MEAQ-ACO-SF
17,PR,0.56,Construction,MEAQ-ACO-SF
42,PR,0.47,Construction,MEAQ-ACO-SF
47,PR,0.47,Construction,MEAQ-ACO-SF
15,DS,0.54,Construction,MEAQ-ACO-SF
33,DS,0.67,Construction,MEAQ-ACO-SF
40,DS,0.7,Construction,MEAQ-ACO-SF
10,RD,0.54,Construction,MEAQ-ACO-SF
21,RD,0.41,Construction,MEAQ-ACO-SF
23,RD,0.26,Construction,MEAQ-ACO-SF
28,RD,0.55,Construction,MEAQ-ACO-SF
49,RD,0.52,Construction,MEAQ-ACO-SF
60,RD,0.68,Construction,MEAQ-ACO-SF
6,DE,0.44,Construction,MEAQ-ACO-SF
12,DE,0.69,Construction,MEAQ-ACO-SF
37,DE,0.62,Construction,MEAQ-ACO-SF
53,DE,0.65,Construction,MEAQ-ACO-SF
62,DE,0.63,Construction,MEAQ-ACO-SF
14,BA,0.45,Validation,MEAQ-ACO-SF
26,BA,0.43,Validation,MEAQ-ACO-SF
32,BA,0.42,Validation,MEAQ-ACO-SF
51,BA,0.56,Validation,MEAQ-ACO-SF
55,BA,0.51,Validation,MEAQ-ACO-SF
2,DA,0.37,Validation,MEAQ-ACO-SF
19,DA,0.34,Validation,MEAQ-ACO-SF
25,DA,0.52,Validation,MEAQ-ACO-SF
34,DA,0.34,Validation,MEAQ-ACO-SF
54,DA,0.61,Validation,MEAQ-ACO-SF
61,DA,0.43,Validation,MEAQ-ACO-SF
17,PR,0.47,Validation,MEAQ-ACO-SF
42,PR,0.57,Validation,MEAQ-ACO-SF
47,PR,0.52,Validation,MEAQ-ACO-SF
15,DS,0.53,Validation,MEAQ-ACO-SF
33,DS,0.53,Validation,MEAQ-ACO-SF
40,DS,0.7,Validation,MEAQ-ACO-SF
10,RD,0.48,Validation,MEAQ-ACO-SF
21,RD,0.4,Validation,MEAQ-ACO-SF
23,RD,0.25,Validation,MEAQ-ACO-SF
28,RD,0.53,Validation,MEAQ-ACO-SF
49,RD,0.38,Validation,MEAQ-ACO-SF
60,RD,0.7,Validation,MEAQ-ACO-SF
6,DE,0.37,Validation,MEAQ-ACO-SF
12,DE,0.44,Validation,MEAQ-ACO-SF
37,DE,0.39,Validation,MEAQ-ACO-SF
53,DE,0.46,Validation,MEAQ-ACO-SF
62,DE,0.37,Validation,MEAQ-ACO-SF
51,BA,0.46,Construction,MEAQ-ACO-BF
59,BA,0.54,Construction,MEAQ-ACO-BF
7,DA,0.59,Construction,MEAQ-ACO-BF
58,DA,0.67,Construction,MEAQ-ACO-BF
5,PR,0.44,Construction,MEAQ-ACO-BF
36,PR,0.78,Construction,MEAQ-ACO-BF
22,DS,0.97,Construction,MEAQ-ACO-BF
33,DS,0.54,Construction,MEAQ-ACO-BF
4,RD,0.87,Construction,MEAQ-ACO-BF
41,RD,0.53,Construction,MEAQ-ACO-BF
53,DE,0.69,Construction,MEAQ-ACO-BF
62,DE,0.65,Construction,MEAQ-ACO-BF
51,BA,0.62,Validation,MEAQ-ACO-BF
59,BA,0.59,Validation,MEAQ-ACO-BF
7,DA,0.94,Validation,MEAQ-ACO-BF
58,DA,0.46,Validation,MEAQ-ACO-BF
5,PR,0.9,Validation,MEAQ-ACO-BF
36,PR,0.48,Validation,MEAQ-ACO-BF
22,DS,0.63,Validation,MEAQ-ACO-BF
33,DS,0.67,Validation,MEAQ-ACO-BF
4,RD,0.5,Validation,MEAQ-ACO-BF
41,RD,0.87,Validation,MEAQ-ACO-BF
53,DE,0.81,Validation,MEAQ-ACO-BF
62,DE,0.33,Validation,MEAQ-ACO-BF
