missing,gender,ethnicit,race1,race2,race3,race4,race5,race6,race7,eas01,eas02,eas03,eas04,eas05,eas06,eas07,eas08,eas09,eas10,eas11,eas12,eas13,eas14,eas15,eas16,eas17,eas18,eas19,eas20,eas21,eas22,eas23,eas24,eas25,eas26,eas27,eas28,eas29,eas30,eas31,eas32,eas33,eas34,eas35,eas36,eas37,eas38,eas39,eas40,eas41,eas42,eas43,eas44,eas45,eas46,eas47,eas48,eas49,eas50,eas51,eas52,eas53,eas54,eas55,eas56,eas57,eas58,eas59,eas60,eas61,eas62,EAS23REV,EAS30REV,EAS06RV,EAS12RV,EAS18RV,EAS24RV,EAS29RV,EAS37RV,EAS43RV,EAS48RV,EAS53RV,EAS57RV,EAS62RV,bfin01,bfin02,bfin03,bfin04,bfin05,bfin06,bfin07,bfin08,BFINEURO,EABEHAV,EADEVAL,EAPROCRA,EADISTRA,EAREPRES,EATOLERA,EATOLREV,MEAQTOT,MEAQBV
0,1,1,0,0,0,0,1,0,0,5,2,2,4,5,4,2,1,4,3,4,5,2,4,1,3,5,1,1,3,1,2,5,4,1,5,2,4,3,5,4,4,4,5,4,5,4,4,4,3,4,5,2,1,5,2,3,2,2,2,4,1,5,3,4,2,4,1,4,2,4,6,2,2,3,2,6,3,4,3,5,5,2,3,1,4,2,4,5,4,4,5,4,28,43,32,29,18,34,40,37,193,48
0,1,1,0,0,0,0,1,0,0,5,4,6,1,6,4,3,6,4,3,6,4,6,5,5,4,4,3,3,5,3,3,6,4,5,5,5,1,2,5,6,4,4,4,1,5,6,6,4,4,1,5,5,5,5,3,4,4,1,5,5,2,2,5,5,1,2,4,5,1,6,2,1,2,3,3,4,3,5,1,2,3,5,5,5,4,2,4,4,4,4,2,2,28,54,62,32,31,23,38,39,241,64
0,1,1,0,0,0,0,1,0,0,3,5,4,1,4,4,3,1,3,5,4,3,4,1,5,2,3,5,4,4,4,4,4,5,4,2,3,1,5,4,4,1,4,5,4,4,4,4,3,4,3,2,4,3,3,3,3,3,3,3,3,1,5,4,2,2,2,2,3,1,5,5,3,3,3,4,2,2,2,3,3,4,2,5,2,1,2,4,5,4,4,4,5,27,26,50,23,27,33,45,32,191,40
0,0,2,0,0,0,0,0,1,0,5,5,5,5,2,5,4,2,5,6,5,5,2,2,4,2,4,5,4,4,1,4,5,5,2,4,2,2,5,5,2,2,4,2,4,4,4,3,1,2,5,1,4,2,4,4,4,5,2,2,1,2,5,4,1,1,6,1,1,1,2,5,2,2,2,2,2,2,2,3,3,2,2,1,2,4,1,5,5,2,1,1,3,32,27,35,22,26,37,54,23,170,35
0,1,1,0,0,0,0,1,0,0,4,5,6,5,5,5,4,4,6,3,5,4,5,2,5,6,4,3,4,5,4,6,5,4,5,3,6,3,4,5,6,4,6,3,5,5,4,6,5,6,4,5,4,5,5,6,4,4,4,3,3,3,4,5,4,3,5,2,3,3,4,4,2,2,2,3,4,3,3,3,3,3,3,2,3,2,2,4,5,4,4,4,4,27,42,57,30,41,51,45,32,253,61
0,1,0,0,0,0,0,1,0,0,4,6,4,5,6,5,1,5,4,2,2,5,6,4,2,2,5,5,5,5,2,2,6,6,2,2,1,1,6,4,5,2,2,4,1,5,5,4,6,2,2,1,6,1,2,1,4,4,1,2,5,4,4,6,2,1,5,1,2,1,1,2,1,3,2,2,2,1,1,2,1,3,3,2,5,4,4,4,2,1,4,4,1,24,39,44,26,17,24,53,24,174,29
0,1,1,0,0,0,0,1,0,0,6,6,6,6,6,6,1,4,6,1,6,6,6,6,6,5,1,4,6,6,1,6,6,6,5,6,6,1,6,6,6,6,6,1,1,6,6,6,6,6,1,6,6,6,6,1,1,1,1,1,6,1,5,6,6,1,6,1,6,1,6,6,1,1,1,1,3,1,1,1,1,6,2,1,1,1,4,4,5,4,4,4,5,25,64,57,27,42,22,58,19,231,64
0,0,1,0,0,0,0,1,0,0,1,6,6,3,5,3,3,2,4,1,3,5,4,3,4,2,4,5,3,4,3,5,3,5,2,3,4,2,5,3,5,5,5,4,3,5,5,4,3,4,4,4,5,4,2,4,4,5,2,4,2,2,5,4,2,3,5,3,3,2,5,4,4,4,4,2,2,2,2,2,2,2,2,2,3,3,4,4,1,5,4,5,1,17,30,51,29,32,35,52,25,202,53
0,1,1,0,1,0,0,0,0,0,6,6,5,5,5,5,5,5,4,3,3,5,4,3,3,2,2,4,6,6,4,3,3,3,6,2,5,4,6,5,4,6,3,4,3,3,5,4,5,4,3,3,6,2,6,2,2,6,3,3,5,4,5,5,3,3,6,4,5,3,4,6,4,2,2,2,3,4,1,2,1,1,2,1,1,3,3,4,4,4,4,4,3,25,52,57,20,27,43,57,20,219,56
0,1,1,0,0,0,0,1,0,0,3,4,4,3,3,4,2,2,3,3,3,4,4,2,3,2,3,4,4,4,2,4,5,5,3,4,3,2,3,4,4,4,5,4,2,2,5,3,2,5,2,3,4,3,3,3,4,3,2,2,2,2,5,2,3,2,3,2,2,2,2,4,2,3,3,3,3,2,4,2,3,4,2,4,3,1,4,3,3,4,2,4,3,18,31,39,21,27,29,44,33,180,42
