Age,Gender,Ethnicity,Race,Semestrs,Credits,Suspic,MEAQ01,MEAQ02,MEAQ03,MEAQ04,MEAQ05,MEAQ06,MEAQ07,MEAQ08,MEAQ09,MEAQ10,MEAQ11,MEAQ12,MEAQ13,MEAQ14,MEAQ15,MEAQ16,MEAQ17,MEAQ18,MEAQ19,MEAQ20,MEAQ21,MEAQ22,MEAQ23,MEAQ24,MEAQ25,MEAQ26,MEAQ27,MEAQ28,MEAQ29,MEAQ30,MEAQ31,MEAQ32,MEAQ33,MEAQ34,MEAQ35,MEAQ36,MEAQ37,MEAQ38,MEAQ39,MEAQ40,MEAQ41,MEAQ42,MEAQ43,MEAQ44,MEAQ45,MEAQ46,MEAQ47,MEAQ48,MEAQ49,MEAQ50,MEAQ51,MEAQ52,MEAQ53,MEAQ54,MEAQ55,MEAQ56,MEAQ57,MEAQ58,MEAQ59,MEAQ60,MEAQ61,MEAQ62,MEAQ23RV,MEAQ30RV,MEAQ6RV,MEAQ12RV,MEAQ18RV,MEAQ24RV,MEAQ29RV,MEAQ37RV,MEAQ43RV,MEAQ48RV,MEAQ53RV,MEAQ57RV,MEAQ62RV,EADEVAL,EABEHAV,EADISTRA,EAREPRES,EAPROCRA,EATOLERA,EATOLREV,MEAQTOT,MEAQBV
20,0,0,1,5,12,0,5,6,5,3,4,4,2,3,6,1,3,5,4,5,5,2,3,3,5,5,2,6,5,4,4,4,5,1,4,4,4,4,5,5,1,3,5,5,5,6,1,1,3,3,5,1,2,2,1,3,5,3,6,5,5,2,2,4,4,1,6,4,2,3,3,2,4,3,3,2,4,5,1,5,3,56,50,38,21,19,42,35,219,52
21,0,0,2,6,16,0,6,6,5,1,4,5,2,2,5,2,5,5,6,5,5,5,5,3,5,5,2,5,6,6,6,2,5,2,5,6,6,4,5,5,5,4,4,4,5,1,1,5,3,4,4,4,2,2,2,4,2,3,2,2,2,1,3,2,3,2,5,4,1,1,2,2,4,1,2,3,4,5,5,4,3,57,40,31,31,26,42,35,220,55
21,0,0,1,6,13,0,5,4,4,4,4,4,3,4,4,2,4,5,4,3,4,2,2,4,4,4,2,4,4,3,3,3,3,2,4,4,4,3,4,4,2,4,4,4,3,3,2,3,4,3,3,2,3,3,2,4,3,2,4,4,3,2,4,3,5,2,4,5,3,3,3,2,3,4,3,3,3,4,3,3,2,48,39,26,29,23,44,33,198,48
22,0,0,6, , ,0,6,2,4,5,4,6,1,3,4,4,4,4,3,3,4,3,3,4,3,3,2,2,3,5,3,6,3,3,4,3,5,3,4,2,4,4,5,4,3,4,4,3,4,3,4,2,2,3,2,2,3,3,4,3,3,4,3,1,3,3,2,4,4,4,1,3,3,2,3,2,3,4,3,4,3,34,40,25,43,24,46,31,197,47
18,0, ,1,0,15,0,3,3,5,3,4,3,3,5,2,1,3,4,2,5,3,3,4,2,3,6,5,3,2,4,3,4,2,4,3,4,5,4,4,4,3,5,5,4,3,4,3,5,5,4,2,3,4,3,3,3,3,4,3,5,4,4,4,3,2,2,4,4,5,3,4,3,5,3,4,2,2,4,4,3,3,46,41,23,43,28,40,37,218,53
22,0,0,2,6,13,0,6,4,5,2,4,6,1,2,6,3,5,6,3,5,5,3,5,3,5,5,3,5,6,5,5,2,5,2,5,5,3,4,5,3,1,4,6,4,5,5,2,4,4,4,4,3,4,2,2,2,4,2,5,5,3,1,3,1,3,1,5,6,1,2,1,1,4,2,2,1,3,5,2,4,1,45,43,36,26,28,51,26,204,51
23,1,1,6,10,15,0,6,4,3,1,2,6,3,1,1,1,2,6,4,6,1,5,2,6,2,1,1,1,6,6,5,2,1,1,6,3,5,1,1,3,1,1,6,5,1,1,1,1,1,2,1,5,1,5,1,1,1,1,6,2,1,1,6,1,1,1,5,6,1,4,1,1,1,1,1,1,6,2,1,1,1,42,22,9,21,13,60,17,124,25
26,0,0,1,10,9,0,3,2,2,2,4,4,1,1,4,1,4,6,3,3,5,2,4,3,5,4,1,4,6,5,4,3,2,1,2,5,4,2,4,4,1,4,3,1,2,3,1,1,3,4,4,1,3,1,1,1,2,2,4,2,2,1,5,2,2,1,4,5,1,2,3,1,4,2,5,4,4,6,3,2,2,37,28,24,16,22,41,36,163,40
18,0,0,1,1,15,0,5,6,3,5,1,3,5,5,3,4,6,3,3,3,2,4,5,5,6,5,4,4,3,5,5,5,5,4,2,3,4,5,6,4,4,5,4,5,4,4,4,5,3,5,5,5,4,4,2,2,2,2,3,5,5,4,3,4,4,2,5,3,4,4,4,4,2,2,5,3,4,3,4,4,4,59,48,27,48,30,38,39,251,67
18,1, ,2, , ,0,6,6,6,5,5,5,5,3,5,5,6,6,6,6,5,1,5,6,6,4,4,4,5,6,5,5,6,5,5,6,6,6,5,5,6,6,5,6,6,5,6,5,6,5,6,2,4,4,5,4,5,4,4,5,5,5,5,6,5,6,5,6,2,1,2,1,1,1,2,2,1,3,3,2,1,70,57,36,56,32,58,19,270,78
