run,MEAQ62_1,MEAQ62_2,MEAQ62_3,MEAQ62_4,MEAQ62_5,MEAQ62_6,MEAQ62_7,MEAQ62_8,MEAQ62_9,MEAQ62_10,MEAQ62_11,MEAQ62_12,MEAQ62_13,MEAQ62_14,MEAQ62_15,MEAQ62_16,MEAQ62_17,MEAQ62_18,MEAQ62_19,MEAQ62_20,MEAQ62_21,MEAQ62_22,MEAQ62_23,MEAQ62_24,MEAQ62_25,MEAQ62_26,MEAQ62_27,MEAQ62_28,MEAQ62_29,MEAQ62_30,MEAQ62_31,MEAQ62_32,MEAQ62_33,MEAQ62_34,MEAQ62_35,MEAQ62_36,MEAQ62_37,MEAQ62_38,MEAQ62_39,MEAQ62_40,MEAQ62_41,MEAQ62_42,MEAQ62_43,MEAQ62_44,MEAQ62_45,MEAQ62_46,MEAQ62_47,MEAQ62_48,MEAQ62_49,MEAQ62_50,MEAQ62_51,MEAQ62_52,MEAQ62_53,MEAQ62_54,MEAQ62_55,MEAQ62_56,MEAQ62_57,MEAQ62_58,MEAQ62_59,MEAQ62_60,MEAQ62_61,MEAQ62_62
1,1,1,0,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,1,1,0,1,0,1,1,0,1,0,0,0,1,1,1,0,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,1,1,0,0,0,1,1,1,1
2,0,1,0,0,0,1,0,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,0,1,1,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,1,1,1,0,0,0,0,1,1,1
3,0,1,0,0,0,1,0,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,0,1,1,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,1,1,1,0,0,0,0,1,1,1
4,0,1,0,0,0,1,0,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,0,1,1,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,1,1,1,0,0,0,0,1,1,1
5,0,1,0,0,0,1,0,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,0,1,1,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,1,1,1,0,0,0,0,1,1,1
6,0,1,0,0,0,1,0,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,0,1,1,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,1,1,1,0,0,0,0,1,1,1
7,0,1,0,0,0,1,0,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,0,1,1,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,1,1,1,0,0,0,0,1,1,1
8,0,1,0,0,0,1,0,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,0,1,1,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,1,1,1,0,0,0,0,1,1,1
9,0,1,0,0,0,1,0,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,0,1,1,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,1,1,1,0,0,0,0,1,1,1
10,0,1,0,0,0,1,0,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,0,1,1,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,1,1,1,0,0,0,0,1,1,1
