Run,Iteration,Pheromone,RMSEA,SRMR,crel,chisq
1,1,1.747258556,0.055775979,0.050882901,0.902536478,6512.574667
1,2,2.193305,0.04813257,0.04131516,0.9079994,4903.956
1,5,2.247929,0.04760345,0.04019214,0.9172816,4804.055
1,12,2.289664,0.04555314,0.03980801,0.9061559,4427.376
1,17,2.302109,0.0461689,0.03834399,0.9053161,4538.761
1,19,2.387899,0.04294911,0.03725766,0.8982312,3972.87
1,23,2.449484,0.04275696,0.03524009,0.9088396,3940.392
1,29,2.461462,0.04079618,0.03669396,0.9047419,3617.297
1,32,2.465447,0.04180197,0.03576819,0.9102175,3781.136
1,40,2.537464,0.03988338,0.03394512,0.9105258,3472.06
1,43,2.562199,0.03878433,0.03428749,0.9147252,3301.548
1,52,2.562548,0.03921752,0.03254829,0.9058841,3368.187
1,53,2.569601,0.03889509,0.03253936,0.9060686,3318.516
1,56,2.581152,0.03893099,0.03269322,0.9139875,3324.026
1,58,2.607036,0.03866733,0.03043335,0.9096055,3283.677
1,65,2.651871,0.0360408,0.03082988,0.9098648,2896.696
1,70,2.653748,0.03648334,0.03024218,0.9114727,2959.992
1,71,2.660586,0.0365145,0.02992043,0.9137041,2964.477
1,76,2.663973,0.03663557,0.029662,0.9153765,2981.944
1,77,2.668995,0.03575066,0.02981438,0.9102732,2855.618
1,79,2.682357,0.03527295,0.03019982,0.9159025,2788.706
1,84,2.684816,0.03545056,0.02933896,0.9135828,2813.478
1,85,2.687273,0.03498317,0.02997434,0.9145059,2748.554
1,90,2.68959,0.03493109,0.02934513,0.911469,2741.374
1,91,2.704693,0.03466944,0.02871806,0.9141848,2705.459
1,99,2.710379,0.03423924,0.02892205,0.9147881,2646.995
1,108,2.71643,0.03426463,0.0283671,0.9154493,2650.426
1,125,2.717319,0.0340029,0.02831751,0.9133116,2615.188
1,126,2.724269,0.03441972,0.02707532,0.914732,2671.435
1,133,2.724534,0.0344357,0.02693997,0.9143708,2673.604
2,1,1.76084,0.05583159,0.05088094,0.903688325,6544.341
2,2,2.122737,0.04857977,0.04264613,0.8948467,4989.251
2,3,2.124991,0.04751013,0.04460292,0.9046634,4786.551
2,4,2.163282,0.04807286,0.04257704,0.9066649,4892.626
2,8,2.16432,0.04961493,0.04118409,0.9120644,5189.713
2,9,2.261717,0.04652235,0.04024501,0.909462,4603.371
2,11,2.304813,0.043931,0.04112541,0.9078301,4141.108
2,13,2.33925,0.04477,0.03906107,0.9140574,4287.875
2,18,2.353377,0.0452071,0.03715021,0.907364,4365.438
2,25,2.370194,0.04442196,0.03754601,0.9097889,4226.654
2,26,2.407075,0.0452942,0.03361362,0.9060222,4380.983
2,36,2.416926,0.04199274,0.03757681,0.9041017,3812.662
2,37,2.501867,0.04119455,0.03480815,0.9141763,3681.712
2,40,2.508003,0.04189964,0.03312185,0.912298,3797.258
2,44,2.529035,0.04071291,0.03343926,0.9116618,3603.911
2,49,2.586069,0.03908784,0.03163606,0.9106631,3348.159
2,51,2.60895,0.03855943,0.03038724,0.9091919,3267.243
2,58,2.615277,0.03838834,0.03068535,0.9127626,3241.281
2,64,2.628365,0.03740565,0.03055687,0.9086994,3094.392
2,68,2.638501,0.03828178,0.02930332,0.9163987,3225.168
2,69,2.642562,0.03755889,0.0291718,0.9098444,3117.046
2,71,2.682033,,,,
2,74,2.686809,,,,
2,81,2.68807,,,,
2,84,2.71643,,,,
2,108,2.723313,,,,
2,112,2.724269,,,,
2,134,2.724534,,,,
3,1,1.786699667,,,,
3,2,2.089572,,,,
3,3,2.156282,,,,
3,6,2.179744,,,,
3,7,2.209906,,,,
3,8,2.264179,,,,
3,15,2.273568,,,,
3,17,2.362222,,,,
3,21,2.429793,,,,
3,34,2.471738,,,,
3,39,2.476337,,,,
3,42,2.525533,,,,
3,45,2.540887,,,,
3,51,2.572244,,,,
3,54,2.643021,,,,
3,59,2.663351,,,,
3,60,2.688346,,,,
3,82,2.708843,,,,
3,100,2.71437,,,,
3,105,2.721443,,,,
3,111,2.724534,,,,
4,1,1.742734,,,,
4,4,2.24873,,,,
4,9,2.25748,,,,
4,13,2.264479,,,,
4,15,2.425825,,,,
4,27,2.451781,,,,
4,35,2.454393,,,,
4,37,2.462716,,,,
4,39,2.468467,,,,
4,42,2.547146,,,,
4,46,2.60245,,,,
4,55,2.613262,,,,
4,57,2.624064,,,,
4,64,2.66574,,,,
4,66,2.697404,,,,
4,89,2.701866,,,,
4,96,2.701891,,,,
4,99,2.710754,,,,
4,103,2.713797,,,,
4,106,2.714566,,,,
4,114,2.718312,,,,
4,115,2.720813,,,,
4,117,2.724269,,,,
4,124,2.724534,,,,
5,1,1.655914545,,,,
5,2,2.1586485,,,,
5,11,2.357396,,,,
5,18,2.411582,,,,
5,30,2.444392,,,,
5,31,2.470457,,,,
5,41,2.539134,,,,
5,43,2.5683155,,,,
5,48,2.628103,,,,
5,65,2.665648,,,,
5,67,2.675444,,,,
5,70,2.693992,,,,
5,77,2.702906,,,,
5,89,2.705041,,,,
5,90,2.707428,,,,
5,94,2.709258,,,,
5,103,2.718312,,,,
5,125,2.724534,,,,
6,1,1.741482,,,,
6,2,2.2288695,,,,
6,6,2.348644,,,,
6,19,2.350038,,,,
6,21,2.3565425,,,,
6,26,2.421578,,,,
6,32,2.430484,,,,
6,35,2.494135,,,,
6,45,2.544707,,,,
6,50,2.551956,,,,
6,53,2.562301,,,,
6,54,2.59628475,,,,
6,61,2.639218,,,,
6,69,2.6519825,,,,
6,70,2.68188,,,,
6,85,2.701201,,,,
6,95,2.711448,,,,
6,98,2.717508,,,,
6,103,2.718104,,,,
6,111,2.719759,,,,
6,118,2.724269,,,,
6,137,2.724534,,,,
7,1,1.7826665,,,,
7,2,2.166766,,,,
7,3,2.275146,,,,
7,20,2.398929,,,,
7,21,2.425807,,,,
7,29,2.460662,,,,
7,34,2.476336,,,,
7,37,2.501039,,,,
7,39,2.515549,,,,
7,40,2.552408,,,,
7,48,2.578776,,,,
7,49,2.643461,,,,
7,64,2.662613,,,,
7,72,2.681114,,,,
7,74,2.696067,,,,
7,90,2.698699,,,,
7,91,2.707141,,,,
7,93,2.709833,,,,
7,98,2.714566,,,,
7,107,2.714715,,,,
7,110,2.718312,,,,
7,114,2.724534,,,,
8,1,1.821033778,,,,
8,3,2.092217,,,,
8,4,2.155547,,,,
8,5,2.275184,,,,
8,13,2.2771,,,,
8,19,2.324552,,,,
8,22,2.328158,,,,
8,28,2.387479,,,,
8,30,2.388259,,,,
8,41,2.418056,,,,
8,42,2.477071,,,,
8,47,2.494178,,,,
8,48,2.506762,,,,
8,50,2.576878,,,,
8,60,2.620912,,,,
8,66,2.62767,,,,
8,67,2.656022,,,,
8,70,2.669395,,,,
8,75,2.672485,,,,
8,79,2.690519,,,,
8,83,2.710379,,,,
8,96,2.724534,,,,
9,1,1.7363492,,,,
9,7,2.228934,,,,
9,15,2.26883,,,,
9,18,2.288005,,,,
9,21,2.391172,,,,
9,23,2.399779,,,,
9,27,2.402034,,,,
9,30,2.415932,,,,
9,33,2.444663,,,,
9,36,2.460386,,,,
9,38,2.4969855,,,,
9,40,2.540035,,,,
9,42,2.542082,,,,
9,46,2.57648,,,,
9,56,2.576574,,,,
9,57,2.629256,,,,
9,64,2.659544,,,,
9,74,2.66828,,,,
9,79,2.703709,,,,
9,96,2.709466,,,,
9,98,2.718312,,,,
9,112,2.724534,,,,
10,1,1.774392429,,,,
10,2,2.175542,,,,
10,7,2.188708,,,,
10,8,2.35786,,,,
10,29,2.4043495,,,,
10,31,2.437859,,,,
10,38,2.476311,,,,
10,42,2.521696,,,,
10,44,2.549499,,,,
10,47,2.554621,,,,
10,51,2.556678,,,,
10,52,2.618991,,,,
10,62,2.625698,,,,
10,63,2.655272,,,,
10,74,2.667148,,,,
10,81,2.692864,,,,
10,88,2.693327,,,,
10,89,2.699851,,,,
10,93,2.71212,,,,
10,99,2.714715,,,,
10,101,2.721443,,,,
10,112,2.724534,,,,
